[856, 390, 31, 283.4895, 0.0044686487, 0, -1;
 838.80005, 128.40001, 37.200001, 210.28136, 0.002601854, 1, -1;
 591.60004, 159.60001, 37.200001, 271.2254, 0.0025906416, 1, -1;
 756, 163.20001, 37.200001, 73.949318, 0.0025903836, 1, -1;
 607.20001, 169.20001, 37.200001, 91.294792, 0.0025663881, 1, -1;
 934.80005, 387.60001, 37.200001, 245.52231, 0.002537281, 1, -1;
 307.20001, 166.8, 37.200001, 220.22446, 0.0025203177, 1, -1;
 894.00006, 387.60001, 37.200001, 299.48706, 0.0025168736, 1, -1;
 799.20001, 154.8, 37.200001, 250.81491, 0.0025100736, 1, -1;
 206.40001, 348, 37.200001, 243.8615, 0.0024587675, 1, -1;
 540, 159.60001, 37.200001, 259.69589, 0.0024566338, 1, -1;
 825.12006, 171.36, 44.640003, 86.176422, 0.0055570593, 2, -1;
 619.20001, 151.20001, 44.640003, 259.18796, 0.0043219123, 2, -1;
 809.28003, 257.76001, 44.640003, 72.453003, 0.0031122542, 2, -1;
 550.08002, 159.84001, 44.640003, 222.08736, 0.0033835641, 2, -1;
 201.60001, 230.40001, 44.640003, 176.84547, 0.0029276335, 2, -1;
 573.12, 159.84001, 44.640003, 241.45091, 0.0040039304, 2, -1;
 584.64001, 159.84001, 44.640003, 317.34973, 0.0040970361, 2, -1;
 722.88, 156.96001, 44.640003, 211.33752, 0.0036028391, 2, -1;
 537.12, 152.64, 44.640003, 290.32422, 0.0044896863, 2, -1;
 817.92004, 201.60001, 44.640003, 296.93707, 0.0028325599, 2, -1;
 840.96002, 208.8, 44.640003, 240.63647, 0.0035717941, 2, -1;
 823.68005, 289.44, 44.640003, 301.20688, 0.0039822017, 2, -1;
 504.00003, 164.16, 44.640003, 110.28357, 0.0033373763, 2, -1;
 839.52002, 128.16, 44.640003, 168.78705, 0.0029007581, 2, -1;
 593.28003, 159.84001, 44.640003, 18.361996, 0.0042312508, 2, -1;
 518.40002, 161.28, 44.640003, 81.833542, 0.0029134867, 2, -1;
 786.24005, 233.28001, 44.640003, 244.86279, 0.0034526736, 2, -1;
 797.76001, 299.52002, 44.640003, 96.888161, 0.0029347294, 2, -1;
 757.44, 226.08, 44.640003, 126.94958, 0.0028323948, 2, -1;
 584.64001, 156.96001, 44.640003, 292.89642, 0.0043708859, 2, -1;
 936.00006, 387.36002, 44.640003, 297.68979, 0.0035303792, 2, -1;
 900.00006, 387.36002, 44.640003, 250.31714, 0.0031043561, 2, -1;
 822.24005, 171.36, 44.640003, 88.084671, 0.0055795647, 2, -1;
 802.08002, 293.76001, 44.640003, 210.36703, 0.0038647978, 2, -1;
 835.20001, 156.96001, 44.640003, 9.9039707, 0.0034333204, 2, -1;
 527.04004, 152.64, 44.640003, 307.1098, 0.005342307, 2, -1;
 826.56006, 149.76001, 44.640003, 252.25548, 0.003512976, 2, -1;
 169.92001, 184.32001, 44.640003, 84.98571, 0.0029787584, 2, -1;
 599.04004, 129.60001, 44.640003, 113.24503, 0.0045411666, 2, -1;
 607.68005, 129.60001, 44.640003, 42.894619, 0.0033313502, 2, -1;
 624.96002, 162.72, 44.640003, 91.106773, 0.0050686575, 2, -1;
 224.64001, 224.64001, 44.640003, 278.58759, 0.0038950907, 2, -1;
 187.20001, 224.64001, 44.640003, 196.97914, 0.0039512357, 2, -1;
 815.04004, 133.92, 44.640003, 288.51501, 0.0037689838, 2, -1;
 184.32001, 226.08, 44.640003, 193.81886, 0.0039655752, 2, -1;
 649.44, 131.04001, 44.640003, 57.077229, 0.0050354209, 2, -1;
 708.48004, 201.60001, 44.640003, 334.22351, 0.0030244626, 2, -1;
 635.04004, 142.56001, 44.640003, 285.35941, 0.0039520562, 2, -1;
 799.20001, 156.96001, 44.640003, 74.958443, 0.0031179232, 2, -1;
 735.84003, 158.40001, 44.640003, 76.194321, 0.0030060115, 2, -1;
 567.36005, 151.20001, 44.640003, 259.01056, 0.0050221882, 2, -1;
 823.68005, 174.24001, 44.640003, 86.745522, 0.0045545669, 2, -1;
 588.96002, 151.20001, 44.640003, 232.83684, 0.0051045767, 2, -1;
 498.24002, 152.64, 44.640003, 194.02573, 0.0035212748, 2, -1;
 820.80005, 156.96001, 44.640003, 10.658064, 0.0038126714, 2, -1;
 563.04004, 158.40001, 44.640003, 273.41724, 0.0037426483, 2, -1;
 764.64001, 298.08002, 44.640003, 253.12534, 0.0030301041, 2, -1;
 830.88, 156.96001, 44.640003, 317.7482, 0.0035093012, 2, -1;
 649.44, 135.36, 44.640003, 349.7952, 0.004343607, 2, -1;
 192.96001, 230.40001, 44.640003, 180.31726, 0.003053939, 2, -1;
 918.72003, 390.24002, 44.640003, 276.29254, 0.0027630774, 2, -1;
 770.40002, 296.64001, 44.640003, 321.07538, 0.0027559905, 2, -1;
 145.44, 165.60001, 44.640003, 263.23193, 0.0026653027, 2, -1;
 649.44, 151.20001, 44.640003, 310.28152, 0.0026652722, 2, -1;
 694.08002, 156.96001, 44.640003, 252.16425, 0.0026602142, 2, -1;
 855.36005, 384.48001, 44.640003, 254.69247, 0.0026429039, 2, -1;
 243.36002, 162.72, 44.640003, 223.79813, 0.0026370054, 2, -1;
 509.76001, 169.92001, 44.640003, 89.383949, 0.0026233101, 2, -1;
 522.72003, 169.92001, 44.640003, 104.08889, 0.002604543, 2, -1;
 760.32001, 296.64001, 44.640003, 305.59204, 0.0025713074, 2, -1;
 540, 158.40001, 44.640003, 279.89621, 0.0025592577, 2, -1;
 532.80005, 156.96001, 44.640003, 190.28098, 0.0025537114, 2, -1;
 787.68005, 354.24002, 44.640003, 223.34264, 0.0025485223, 2, -1;
 282.24002, 164.16, 44.640003, 264.74304, 0.0025422459, 2, -1;
 203.04001, 352.80002, 44.640003, 230.048, 0.0025272155, 2, -1;
 653.76001, 158.40001, 44.640003, 151.59891, 0.002513038, 2, -1;
 740.16003, 298.08002, 44.640003, 177.01727, 0.0024997208, 2, -1;
 941.76001, 391.68002, 44.640003, 298.60184, 0.0024946048, 2, -1;
 865.44006, 292.32001, 44.640003, 359.59204, 0.0024869232, 2, -1;
 129.60001, 165.60001, 44.640003, 203.36726, 0.0024834319, 2, -1;
 918.72003, 403.20001, 44.640003, 258.12463, 0.0024610444, 2, -1;
 871.20001, 387.36002, 44.640003, 317.3844, 0.0024315871, 2, -1;
 148.32001, 180, 44.640003, 122.56599, 0.0024077785, 2, -1;
 797.76001, 292.32001, 44.640003, 252.75369, 0.002404971, 2, -1;
 882.72003, 388.80002, 44.640003, 269.15527, 0.0023855863, 2, -1;
 649.72809, 134.78401, 53.568005, 357.46951, 0.0035691441, 3, -1;
 532.22406, 157.24802, 53.568005, 34.505951, 0.0031595512, 3, -1;
 540.86407, 157.24802, 53.568005, 215.26033, 0.0036827053, 3, -1;
 599.61603, 129.60001, 53.568005, 86.663269, 0.0033602887, 3, -1;
 563.32806, 157.24802, 53.568005, 249.11069, 0.0046108924, 3, -1;
 537.40808, 152.06401, 53.568005, 272.85779, 0.0052388259, 3, -1;
 831.16809, 157.24802, 53.568005, 54.782913, 0.0037015569, 3, -1;
 870.91211, 295.48804, 53.568005, 9.9465981, 0.002817794, 3, -1;
 841.53607, 209.08801, 53.568005, 253.53915, 0.0028065576, 3, -1;
 634.17609, 138.24002, 53.568005, 288.38345, 0.0056681931, 3, -1;
 573.69604, 158.97601, 53.568005, 261.63773, 0.0035612043, 3, -1;
 758.5921, 231.55202, 53.568005, 258.25134, 0.002879912, 3, -1;
 516.67206, 139.96802, 53.568005, 245.17354, 0.0048307977, 3, -1;
 803.52008, 292.03201, 53.568005, 236.95502, 0.0030903551, 3, -1;
 127.87201, 169.34401, 53.568005, 177.8479, 0.0027740132, 3, -1;
 259.20001, 164.16002, 53.568005, 281.46103, 0.0026544405, 3, -1;
 694.65607, 157.24802, 53.568005, 83.277252, 0.0034507876, 3, -1;
 825.98407, 290.30402, 53.568005, 293.28818, 0.0030182332, 3, -1;
 625.53607, 162.43202, 53.568005, 105.68504, 0.0033603059, 3, -1;
 936.57611, 387.07202, 53.568005, 300.2114, 0.0029047639, 3, -1;
 537.40808, 164.16002, 53.568005, 129.53706, 0.0035372695, 3, -1;
 509.76004, 169.34401, 53.568005, 104.38723, 0.0036320211, 3, -1;
 635.90405, 143.42401, 53.568005, 272.59436, 0.0037906403, 3, -1;
 518.40002, 160.70401, 53.568005, 134.28873, 0.0026948487, 3, -1;
 803.52008, 150.33601, 53.568005, 270.31631, 0.0031622315, 3, -1;
 787.96808, 233.28003, 53.568005, 249.77353, 0.0029550174, 3, -1;
 620.35205, 152.06401, 53.568005, 46.920971, 0.0029031353, 3, -1;
 594.43207, 158.97601, 53.568005, 61.599628, 0.0038592299, 3, -1;
 584.06403, 158.97601, 53.568005, 160.12993, 0.0032765765, 3, -1;
 824.2561, 172.80002, 53.568005, 88.82869, 0.0031478773, 3, -1;
 608.25604, 129.60001, 53.568005, 80.811775, 0.0028604884, 3, -1;
 568.51202, 152.06401, 53.568005, 266.52487, 0.0042743362, 3, -1;
 589.24805, 152.06401, 53.568005, 289.76981, 0.0050331303, 3, -1;
 758.5921, 228.09602, 53.568005, 250.71855, 0.0033522665, 3, -1;
 867.45605, 292.03201, 53.568005, 6.7187262, 0.00361755, 3, -1;
 551.23206, 158.97601, 53.568005, 313.00049, 0.0032323108, 3, -1;
 772.41608, 221.18402, 53.568005, 253.65408, 0.0028313999, 3, -1;
 872.64008, 387.07202, 53.568005, 314.23434, 0.0026238831, 3, -1;
