 714, 201.60001, 37.200001, 61.609833, 0.0010696305, 1, -1;
 447.60001, 458.40002, 37.200001, 97.377625, 0.0010635076, 1, -1;
 579.60004, 78, 37.200001, 107.80665, 0.0010582064, 1, -1;
 715.20001, 264, 37.200001, 333.8064, 0.0010496536, 1, -1;
 97.200005, 316.80002, 37.200001, 181.75179, 0.001046656, 1, -1;
 148.8, 439.20001, 37.200001, 23.527878, 0.0010413746, 1, -1;
 73.440002, 338.40002, 44.640003, 163.15956, 0.0011155755, 2, -1;
 740.16003, 347.04001, 44.640003, 20.223089, 0.00087349158, 2, -1;
 914.40002, 90.720001, 44.640003, 8.8964243, 0.0016089875, 2, -1;
 744.48004, 315.36002, 44.640003, 3.5194135, 0.0013549199, 2, -1;
 740.16003, 338.40002, 44.640003, 16.190571, 0.001249867, 2, -1;
 69.120003, 313.92001, 44.640003, 173.39296, 0.00079268386, 2, -1;
 665.28003, 408.96002, 44.640003, 25.651421, 0.00084013573, 2, -1;
 588.96002, 90.720001, 44.640003, 96.191551, 0.0012278879, 2, -1;
 610.56, 84.960007, 44.640003, 26.355106, 0.00078410481, 2, -1;
 727.20001, 375.84003, 44.640003, 16.906874, 0.00093322957, 2, -1;
 732.96002, 236.16, 44.640003, 328.92453, 0.00089840358, 2, -1;
 593.28003, 69.120003, 44.640003, 249.17862, 0.00082039222, 2, -1;
 599.04004, 86.400002, 44.640003, 137.3049, 0.00085013418, 2, -1;
 70.560005, 298.08002, 44.640003, 179.01086, 0.00079764199, 2, -1;
 519.84003, 60.480003, 44.640003, 255.255, 0.00081983069, 2, -1;
 518.40002, 74.880005, 44.640003, 339.45514, 0.00082399498, 2, -1;
 738.72003, 252.00002, 44.640003, 342.13513, 0.0015359891, 2, -1;
 722.88, 384.48001, 44.640003, 10.839478, 0.00079800922, 2, -1;
 541.44, 74.880005, 44.640003, 147.20493, 0.0010369376, 2, -1;
 722.88, 214.56001, 44.640003, 55.836029, 0.00097781024, 2, -1;
 732.96002, 361.44, 44.640003, 14.026905, 0.00096702593, 2, -1;
 521.28003, 72, 44.640003, 313.43631, 0.0013834739, 2, -1;
 632.16003, 67.68, 44.640003, 316.11276, 0.00096148241, 2, -1;
 563.04004, 89.280006, 44.640003, 129.03052, 0.00086227804, 2, -1;
 745.92004, 298.08002, 44.640003, 356.63971, 0.00095839344, 2, -1;
 92.160004, 213.12001, 44.640003, 156.52968, 0.00085429294, 2, -1;
 743.04004, 322.56, 44.640003, 7.3973932, 0.0010213271, 2, -1;
 72, 275.04001, 44.640003, 191.7849, 0.00084759004, 2, -1;
 417.60001, 67.68, 44.640003, 278.15942, 0.00079602405, 2, -1;
 692.64001, 381.60001, 44.640003, 51.169075, 0.00091458188, 2, -1;
 725.76001, 221.76001, 44.640003, 346.73831, 0.00080638006, 2, -1;
